Trial1,Trial2,Trial3,,
0.923908356,0.9172403,0.748988463,,
0.928613136,0.914275036,0.745789206,,
0.93244583,0.911338017,0.742653923,,
0.930042913,0.908431112,0.739590262,,
0.931702112,0.905556087,0.736609229,,
0.933393635,0.902714608,0.736317611,,
0.935118744,0.899908223,0.735689242,,
0.936904579,0.897138318,0.734801847,,
0.938804816,0.894406021,0.733816786,,
0.940899201,0.891712013,0.732978612,,
0.943291281,0.889056212,0.732586117,,
0.946096297,0.886437337,0.730419126,,
0.949410052,0.883852393,0.72839974,,
0.953272713,0.881296268,0.726536383,,
0.957670256,0.878761702,0.724831674,,
0.962556873,0.876239834,0.723278497,,
0.967778395,0.873721294,0.721854412,,
0.972940213,0.871197503,0.72181546,,
0.977587552,0.8686617,0.721888026,,
0.981568759,0.866109361,0.721717992,,
0.985019233,0.863538055,0.721361174,,
0.988149454,0.860946983,0.720881485,,
0.991156592,0.858336553,0.720328105,,
0.994236502,0.855708135,0.719739229,,
0.997586419,0.853064008,0.719154796,,
0.998745231,0.850407341,0.717249793,,
0.995082064,0.847742067,0.715330628,,
0.991832302,0.845072692,0.713427378,,
0.989064181,0.842404091,0.71157191,,
0.9866565,0.83974137,0.709799684,,
0.984507919,0.837089825,0.708150117,,
0.982561537,0.834454989,0.706659878,,
0.980777679,0.831842764,0.705332535,,
0.979122807,0.82925963,0.704200194,,
0.9775822,0.826712938,0.703330574,,
0.976195419,0.824211235,0.702764596,,
0.975113959,0.821764577,0.702461922,,
0.974376096,0.81938467,0.70227167,,
0.973848544,0.817084587,0.702001067,,
0.973495223,0.814877653,0.701531768,,
0.97328585,0.812775092,0.700852911,,
0.973182489,0.810782243,0.700013502,,
0.973143348,0.808894047,0.699074319,,
0.973127516,0.807091647,0.698087353,,
0.973099584,0.805342599,0.697092321,,
0.973035357,0.803605972,0.696119722,,
0.97292823,0.801840906,0.695098696,,
0.972792219,0.800015171,0.694310535,,
0.972656254,0.798110449,0.693570155,,
0.972550232,0.796123049,0.693052695,,
0.972491772,0.794060984,0.69279287,,
0.972481932,0.791939597,0.691661801,,
0.972509622,0.789777628,0.690522137,,
0.972559248,0.787594483,0.689381264,,
0.972616321,0.785408011,0.688244924,,
0.972666171,0.783231087,0.687115119,,
0.972678072,0.781067645,0.685993483,,
0.971671421,0.778913711,0.684885834,,
